order_id,device_id,order_creation_time,preceding_event,following_event,previous_status,status_time,count_total_events_before_3min,count_status_code_0_before_3min,count_status_code_200_before_3min,count_status_code_401_before_3min,count_error_econnaborted_before_3min,count_error_generic_error_before_3min,count_no_error_code_before_3min,count_total_events_after_3min,count_status_code_0_after_3min,count_status_code_200_after_3min,count_status_code_401_after_3min,count_error_econnaborted_after_3min,count_error_generic_error_after_3min,count_no_error_code_after_3min,count_total_events_before_60min,count_status_code_0_before_60min,count_status_code_200_before_60min,count_status_code_401_before_60min,count_error_econnaborted_before_60min,count_error_generic_error_before_60min,count_no_error_code_before_60min
102495832,eb870f2d-f8c7-4bed-83d3-f0237e41098a,2020-02-26 10:59:59,2020-02-26 10:59:55.205,2020-02-26 11:00:11.220,ONLINE,2020-02-26 09:14:04.273,12,0,12,0,0,0,12,11,0,11,0,0,0,11,193,0,193,0,0,0,193
102495273,2bb11f99-ab21-4628-abe6-b919da8fbf34,2020-02-26 11:00:18,2020-02-26 11:00:12.818,2020-02-26 11:00:30.361,,,10,0,10,0,0,0,10,11,0,11,0,0,0,11,52,0,52,0,0,0,52
102495405,2bb11f99-ab21-4628-abe6-b919da8fbf34,2020-02-26 11:01:39,2020-02-26 11:01:21.184,2020-02-26 11:01:39.493,,,9,0,9,0,0,0,9,11,0,11,0,0,0,11,56,0,56,0,0,0,56
102496158,53d16c33-5980-4ad8-9032-f85d686d2855,2020-02-26 11:02:26,2020-02-26 11:02:15.953,2020-02-26 11:02:31.844,,,11,0,11,0,0,0,11,11,0,11,0,0,0,11,140,0,140,0,0,0,140
102496389,7dd7a222-0b6c-4835-adb7-12013d02f1b0,2020-02-26 11:03:49,2020-02-26 11:03:39.185,2020-02-26 11:03:54.613,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,101,1,100,0,1,0,100
102496299,2bb11f99-ab21-4628-abe6-b919da8fbf34,2020-02-26 11:03:53,2020-02-26 11:03:51.069,2020-02-26 11:04:08.179,,,11,0,11,0,0,0,11,9,0,9,0,0,0,9,65,0,65,0,0,0,65
102496405,e7dd9fe8-03e8-41ae-abc7-8a4b0b098971,2020-02-26 11:03:58,2020-02-26 11:03:30.301,2020-02-26 11:04:09.979,,,4,2,2,0,2,0,2,2,1,1,0,1,0,1,94,5,89,0,5,0,89
102496552,a8d153dc-2294-4446-b190-78dd8c306e74,2020-02-26 11:04:53,2020-02-26 11:04:46.279,2020-02-26 11:05:01.773,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,86,0,86,0,0,0,86
102496455,2aec0e20-e1d8-4323-9b12-f066856488a7,2020-02-26 11:04:53,2020-02-26 11:04:45.191,2020-02-26 11:05:00.427,,,12,0,12,0,0,0,12,12,0,12,0,0,0,12,182,0,182,0,0,0,182
102496593,b5abcecd-8afe-4fe5-9c4c-a6539308984f,2020-02-26 11:05:08,2020-02-26 11:04:54.533,2020-02-26 11:05:11.265,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,234,0,234,0,0,0,234
102496079,eb870f2d-f8c7-4bed-83d3-f0237e41098a,2020-02-26 11:05:23,2020-02-26 11:05:09.234,2020-02-26 11:05:25.322,ONLINE,2020-02-26 09:14:04.273,11,0,11,0,0,0,11,12,0,12,0,0,0,12,206,0,206,0,0,0,206
102496784,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 11:06:25,2020-02-26 11:06:23.852,2020-02-26 11:06:39.127,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,207,0,207,0,0,0,207
102496795,2bb11f99-ab21-4628-abe6-b919da8fbf34,2020-02-26 11:06:56,2020-02-26 11:06:24.817,2020-02-26 11:06:57.085,,,9,0,9,0,0,0,9,11,0,11,0,0,0,11,74,0,74,0,0,0,74
102496886,096bf5c3-bfbf-4f3e-ac97-e09200c1d1ba,2020-02-26 11:07:17,2020-02-26 11:07:09.648,2020-02-26 11:07:24.943,,,12,0,12,0,0,0,12,11,0,11,0,0,0,11,210,0,210,0,0,0,210
102496897,231f5555-eeba-4aa9-8932-2154dc01ea29,2020-02-26 11:07:52,2020-02-26 11:07:39.129,2020-02-26 11:07:54.504,,,11,0,11,0,0,0,11,12,0,12,0,0,0,12,200,0,200,0,0,0,200
102496909,ec7a14b8-e5ad-4e31-9bc7-14782586c9bd,2020-02-26 11:07:52,2020-02-26 11:07:07.165,2020-02-26 11:09:03.804,,,9,0,9,0,0,0,9,6,0,6,0,0,0,6,108,0,108,0,0,0,108
